fpr,tpr,type
0.393442623,0.799180328,dipper
0.397540984,0.799180328,dipper
0.397540984,0.807377049,dipper
0.401639344,0.807377049,dipper
0.401639344,0.827868852,dipper
0.409836066,0.827868852,dipper
0.422131148,0.827868852,dipper
0.422131148,0.848360656,dipper
0.426229508,0.848360656,dipper
0.450819672,0.848360656,dipper
0.475409836,0.868852459,dipper
0.479508197,0.868852459,dipper
0.487704918,0.868852459,dipper
0.487704918,0.87295082,dipper
0.495901639,0.87295082,dipper
0.5,0.87295082,dipper
0.5,0.87704918,dipper
0.504098361,0.881147541,dipper
0.504098361,0.889344262,dipper
0.516393443,0.889344262,dipper
0.524590164,0.893442623,dipper
0.524590164,0.901639344,dipper
0.528688525,0.905737705,dipper
0.528688525,0.909836066,dipper
0.540983607,0.909836066,dipper
0.549180328,0.909836066,dipper
0.553278689,0.909836066,dipper
0.553278689,0.913934426,dipper
0.56557377,0.913934426,dipper
0.573770492,0.913934426,dipper
0.577868852,0.913934426,dipper
0.577868852,0.922131148,dipper
0.590163934,0.922131148,dipper
0.590163934,0.930327869,dipper
0.614754098,0.930327869,dipper
0.62704918,0.930327869,dipper
0.62704918,0.93442623,dipper
0.631147541,0.93442623,dipper
0.639344262,0.93852459,dipper
0.643442623,0.93852459,dipper
0.647540984,0.942622951,dipper
0.647540984,0.946721311,dipper
0.663934426,0.946721311,dipper
0.663934426,0.950819672,dipper
0.68442623,0.950819672,dipper
0.68442623,0.954918033,dipper
0.68852459,0.954918033,dipper
0.68852459,0.959016393,dipper
0.704918033,0.959016393,dipper
0.709016393,0.959016393,dipper
0.717213115,0.959016393,dipper
0.733606557,0.959016393,dipper
0.741803279,0.959016393,dipper
0.745901639,0.959016393,dipper
0.745901639,0.963114754,dipper
0.754098361,0.963114754,dipper
0.766393443,0.963114754,dipper
0.770491803,0.963114754,dipper
0.770491803,0.967213115,dipper
0.778688525,0.967213115,dipper
0.778688525,0.971311475,dipper
0.782786885,0.971311475,dipper
0.782786885,0.975409836,dipper
0.786885246,0.975409836,dipper
0.795081967,0.975409836,dipper
0.81147541,0.975409836,dipper
0.819672131,0.975409836,dipper
0.819672131,0.979508197,dipper
0.827868852,0.979508197,dipper
0.836065574,0.979508197,dipper
0.840163934,0.979508197,dipper
0.852459016,0.979508197,dipper
0.868852459,0.979508197,dipper
0.87295082,0.979508197,dipper
0.87295082,0.983606557,dipper
0.881147541,0.983606557,dipper
0.889344262,0.983606557,dipper
0.889344262,0.991803279,dipper
0.926229508,0.991803279,dipper
0.926229508,1,dipper
1,1,dipper
0,0,normal
0,0.004098361,normal
0,0.045081967,normal
0,0.053278689,normal
0,0.06147541,normal
0,0.069672131,normal
0,0.077868852,normal
0.004098361,0.077868852,normal
0.004098361,0.086065574,normal
0.004098361,0.102459016,normal
0.004098361,0.110655738,normal
0.004098361,0.131147541,normal
0.004098361,0.143442623,normal
0.004098361,0.159836066,normal
0.004098361,0.172131148,normal
0.004098361,0.18852459,normal
0.004098361,0.192622951,normal
0.004098361,0.200819672,normal
0.004098361,0.209016393,normal
0.004098361,0.221311475,normal
0.004098361,0.229508197,normal
0.004098361,0.237704918,normal
0.004098361,0.254098361,normal
0.004098361,0.262295082,normal
0.004098361,0.274590164,normal
0.004098361,0.282786885,normal
0.004098361,0.290983607,normal
0.004098361,0.299180328,normal
0.004098361,0.319672131,normal
0.004098361,0.336065574,normal
0.008196721,0.336065574,normal
0.008196721,0.344262295,normal
0.008196721,0.356557377,normal
0.008196721,0.37295082,normal
0.008196721,0.381147541,normal
0.008196721,0.393442623,normal
0.008196721,0.397540984,normal
0.008196721,0.409836066,normal
0.012295082,0.409836066,normal
0.012295082,0.413934426,normal
0.016393443,0.413934426,normal
0.016393443,0.422131148,normal
0.016393443,0.43852459,normal
0.016393443,0.450819672,normal
0.016393443,0.454918033,normal
0.016393443,0.463114754,normal
0.016393443,0.467213115,normal
0.016393443,0.479508197,normal
0.016393443,0.487704918,normal
0.016393443,0.5,normal
0.016393443,0.504098361,normal
0.020491803,0.508196721,normal
0.020491803,0.516393443,normal
0.024590164,0.516393443,normal
0.024590164,0.528688525,normal
0.024590164,0.540983607,normal
0.024590164,0.549180328,normal
0.024590164,0.553278689,normal
0.024590164,0.56147541,normal
0.028688525,0.56147541,normal
0.028688525,0.569672131,normal
0.032786885,0.569672131,normal
0.032786885,0.581967213,normal
0.032786885,0.586065574,normal
0.036885246,0.590163934,normal
